ImageId,MaskId
ID00400637202305055099402\ID00400637202305055099402_0.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_0.jpg
ID00400637202305055099402\ID00400637202305055099402_1.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_1.jpg
ID00400637202305055099402\ID00400637202305055099402_2.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_2.jpg
ID00400637202305055099402\ID00400637202305055099402_3.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_3.jpg
ID00400637202305055099402\ID00400637202305055099402_4.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_4.jpg
ID00400637202305055099402\ID00400637202305055099402_5.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_5.jpg
ID00400637202305055099402\ID00400637202305055099402_6.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_6.jpg
ID00400637202305055099402\ID00400637202305055099402_7.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_7.jpg
ID00400637202305055099402\ID00400637202305055099402_8.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_8.jpg
ID00400637202305055099402\ID00400637202305055099402_9.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_9.jpg
ID00400637202305055099402\ID00400637202305055099402_10.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_10.jpg
ID00400637202305055099402\ID00400637202305055099402_11.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_11.jpg
ID00400637202305055099402\ID00400637202305055099402_12.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_12.jpg
ID00400637202305055099402\ID00400637202305055099402_13.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_13.jpg
ID00400637202305055099402\ID00400637202305055099402_14.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_14.jpg
ID00400637202305055099402\ID00400637202305055099402_15.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_15.jpg
ID00400637202305055099402\ID00400637202305055099402_16.jpg,ID00400637202305055099402\ID00400637202305055099402_mask_16.jpg
