ImageId,MaskId
ID00364637202296074419422\ID00364637202296074419422_0.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_0.jpg
ID00364637202296074419422\ID00364637202296074419422_1.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_1.jpg
ID00364637202296074419422\ID00364637202296074419422_2.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_2.jpg
ID00364637202296074419422\ID00364637202296074419422_3.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_3.jpg
ID00364637202296074419422\ID00364637202296074419422_4.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_4.jpg
ID00364637202296074419422\ID00364637202296074419422_5.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_5.jpg
ID00364637202296074419422\ID00364637202296074419422_6.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_6.jpg
ID00364637202296074419422\ID00364637202296074419422_7.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_7.jpg
ID00364637202296074419422\ID00364637202296074419422_8.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_8.jpg
ID00364637202296074419422\ID00364637202296074419422_9.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_9.jpg
ID00364637202296074419422\ID00364637202296074419422_10.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_10.jpg
ID00364637202296074419422\ID00364637202296074419422_11.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_11.jpg
ID00364637202296074419422\ID00364637202296074419422_12.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_12.jpg
ID00364637202296074419422\ID00364637202296074419422_13.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_13.jpg
ID00364637202296074419422\ID00364637202296074419422_14.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_14.jpg
ID00364637202296074419422\ID00364637202296074419422_15.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_15.jpg
ID00364637202296074419422\ID00364637202296074419422_16.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_16.jpg
ID00364637202296074419422\ID00364637202296074419422_17.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_17.jpg
ID00364637202296074419422\ID00364637202296074419422_18.jpg,ID00364637202296074419422\ID00364637202296074419422_mask_18.jpg
